Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
FORTALEZA,GASOLINA,02/01/2019,"4,17","3,7962"
FORTALEZA,ETANOL,02/01/2019,"3,279",
FORTALEZA,DIESEL S10,02/01/2019,"3,47","3,3368"
FORTALEZA,GASOLINA,02/01/2019,"4,25",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,779",
FORTALEZA,GASOLINA,02/01/2019,"4,26",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,49",
FORTALEZA,GASOLINA,02/01/2019,"4,24",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,799",
FORTALEZA,GASOLINA,02/01/2019,"4,199","3,7769"
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,59","3,2476"
FORTALEZA,GASOLINA,02/01/2019,"4,34","3,9309"
FORTALEZA,ETANOL,02/01/2019,"3,49","3,1167"
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,2769"
FORTALEZA,GASOLINA,02/01/2019,"4,299",
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,699",
FORTALEZA,GASOLINA,02/01/2019,"4,26",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,59",
FORTALEZA,GASOLINA,02/01/2019,"4,249",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,599",
FORTALEZA,GASOLINA,02/01/2019,"4,26",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,699",
FORTALEZA,GASOLINA,02/01/2019,"4,349","3,9612"
FORTALEZA,ETANOL,02/01/2019,"3,49","3,2"
FORTALEZA,DIESEL S10,02/01/2019,"3,69","3,0127"
FORTALEZA,GASOLINA,02/01/2019,"4,26",
FORTALEZA,ETANOL,02/01/2019,"3,39",
FORTALEZA,DIESEL S10,02/01/2019,"3,689",
FORTALEZA,GASOLINA,02/01/2019,"4,31",
FORTALEZA,ETANOL,02/01/2019,"3,49",
FORTALEZA,DIESEL S10,02/01/2019,"3,79",
FORTALEZA,GASOLINA,02/01/2019,"4,35",
FORTALEZA,ETANOL,02/01/2019,"3,59",
FORTALEZA,DIESEL S10,02/01/2019,"3,69",
FORTALEZA,GNV,02/01/2019,"3,37",
FORTALEZA,GASOLINA,02/01/2019,"4,349",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,779",
FORTALEZA,GASOLINA,02/01/2019,"4,35","3,938"
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,799","3,2956"
FORTALEZA,GASOLINA,02/01/2019,"4,28",
FORTALEZA,ETANOL,02/01/2019,"3,499",
FORTALEZA,DIESEL S10,02/01/2019,"3,599",
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,6987"
FORTALEZA,ETANOL,02/01/2019,"3,49","3,1867"
FORTALEZA,DIESEL S10,02/01/2019,"3,59","3,2856"
FORTALEZA,GASOLINA,02/01/2019,"4,25",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,599",
FORTALEZA,GASOLINA,02/01/2019,"4,23","3,7788"
FORTALEZA,ETANOL,02/01/2019,"3,399","3,1289"
FORTALEZA,DIESEL S10,02/01/2019,"3,699","3,2965"
FORTALEZA,GASOLINA,02/01/2019,"4,239",
FORTALEZA,ETANOL,02/01/2019,"3,399",
FORTALEZA,DIESEL S10,02/01/2019,"3,599",
