Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
JOAO PESSOA,GASOLINA,03/01/2019,"4,089",
JOAO PESSOA,ETANOL,03/01/2019,"2,899",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,499",
JOAO PESSOA,GASOLINA,03/01/2019,"4,089",
JOAO PESSOA,ETANOL,03/01/2019,"2,859",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,49",
JOAO PESSOA,GASOLINA,03/01/2019,"4,099","3,7894"
JOAO PESSOA,ETANOL,03/01/2019,"2,899","2,5921"
JOAO PESSOA,DIESEL S10,03/01/2019,"3,609","3,1404"
JOAO PESSOA,GASOLINA,03/01/2019,"4,099",
JOAO PESSOA,ETANOL,03/01/2019,"2,899",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,599",
JOAO PESSOA,GASOLINA,03/01/2019,"4,09",
JOAO PESSOA,ETANOL,03/01/2019,"2,89",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,699",
JOAO PESSOA,GASOLINA,03/01/2019,"4,399",
JOAO PESSOA,ETANOL,03/01/2019,"3,159",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,589",
JOAO PESSOA,GNV,03/01/2019,"3,729",
JOAO PESSOA,GASOLINA,03/01/2019,"4,099",
JOAO PESSOA,ETANOL,03/01/2019,"3,059",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,579",
JOAO PESSOA,GASOLINA,03/01/2019,"4,089","3,797"
JOAO PESSOA,ETANOL,03/01/2019,"2,859","2,6534"
JOAO PESSOA,DIESEL,03/01/2019,"3,359","3,07"
JOAO PESSOA,DIESEL S10,03/01/2019,"3,39","3,1295"
JOAO PESSOA,GASOLINA,03/01/2019,"4,444",
JOAO PESSOA,ETANOL,03/01/2019,"2,89",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,699",
JOAO PESSOA,GASOLINA,03/01/2019,"4,18",
JOAO PESSOA,ETANOL,03/01/2019,"3,09",
JOAO PESSOA,GASOLINA,03/01/2019,"4,09","3,7291"
JOAO PESSOA,ETANOL,03/01/2019,"2,99","2,5922"
JOAO PESSOA,DIESEL S10,03/01/2019,"3,65","3,03"
JOAO PESSOA,GASOLINA,03/01/2019,"4,059",
JOAO PESSOA,ETANOL,03/01/2019,"2,859",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,599",
JOAO PESSOA,GNV,03/01/2019,"3,74",
JOAO PESSOA,GASOLINA,03/01/2019,"4,089","3,792"
JOAO PESSOA,ETANOL,03/01/2019,"2,859","2,6967"
JOAO PESSOA,DIESEL,03/01/2019,"3,48",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,49","3,135"
JOAO PESSOA,GASOLINA,03/01/2019,"4,399",
JOAO PESSOA,ETANOL,03/01/2019,"3,099",
JOAO PESSOA,DIESEL S10,03/01/2019,"3,749",
JOAO PESSOA,GASOLINA,03/01/2019,"4,489","3,9026"
JOAO PESSOA,ETANOL,03/01/2019,"3,199","2,8841"
JOAO PESSOA,DIESEL,03/01/2019,"3,649","3,1488"
JOAO PESSOA,DIESEL S10,03/01/2019,"3,699","3,3329"
