Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
NATAL,GASOLINA,02/01/2019,"4,239",
NATAL,ETANOL,02/01/2019,"3,299",
NATAL,DIESEL,02/01/2019,"3,499",
NATAL,DIESEL S10,02/01/2019,"3,599",
NATAL,GNV,02/01/2019,"3,59",
NATAL,GASOLINA,02/01/2019,"4,139",
NATAL,ETANOL,02/01/2019,"3,199",
NATAL,DIESEL S10,02/01/2019,"3,499",
NATAL,GASOLINA,02/01/2019,"4,24",
NATAL,ETANOL,02/01/2019,"3,28",
NATAL,DIESEL S10,02/01/2019,"3,69",
NATAL,GASOLINA,02/01/2019,"4,15","3,7769"
NATAL,ETANOL,02/01/2019,"2,99","2,8789"
NATAL,DIESEL,02/01/2019,"3,49","3,2279"
NATAL,DIESEL S10,02/01/2019,"3,59","3,3479"
NATAL,GNV,02/01/2019,"3,49","2,7059"
NATAL,GASOLINA,02/01/2019,"4,24","3,7768"
NATAL,ETANOL,02/01/2019,"3,29","2,8679"
NATAL,DIESEL S10,02/01/2019,"3,59","3,3246"
NATAL,GASOLINA,02/01/2019,"4,13","3,7628"
NATAL,ETANOL,02/01/2019,"2,99",
NATAL,DIESEL,02/01/2019,"3,39","3,1276"
NATAL,GASOLINA,02/01/2019,"4,15","3,762"
NATAL,ETANOL,02/01/2019,"3,29",
NATAL,DIESEL S10,02/01/2019,"3,69","3,2976"
NATAL,GASOLINA,02/01/2019,"4,14",
NATAL,ETANOL,02/01/2019,"2,99",
NATAL,DIESEL,02/01/2019,"3,49",
NATAL,DIESEL S10,02/01/2019,"3,69",
NATAL,GNV,02/01/2019,"3,49",
NATAL,GASOLINA,02/01/2019,"4,15","3,7759"
NATAL,ETANOL,02/01/2019,"3,29",
NATAL,DIESEL,02/01/2019,"3,49","3,1267"
NATAL,DIESEL S10,02/01/2019,"3,59","3,3276"
NATAL,GASOLINA,02/01/2019,"4,23","3,8265"
NATAL,ETANOL,02/01/2019,"2,99",
NATAL,DIESEL S10,02/01/2019,"3,59","3,2867"
NATAL,GASOLINA,02/01/2019,"4,19",
NATAL,ETANOL,02/01/2019,"3,29",
NATAL,DIESEL,02/01/2019,"3,59",
NATAL,DIESEL S10,02/01/2019,"3,59",
NATAL,GASOLINA,02/01/2019,"4,23",
NATAL,ETANOL,02/01/2019,"3,299",
NATAL,DIESEL,02/01/2019,"3,49",
NATAL,DIESEL S10,02/01/2019,"3,59",
NATAL,GASOLINA,02/01/2019,"4,23","3,7656"
NATAL,ETANOL,02/01/2019,"3,29",
NATAL,DIESEL S10,02/01/2019,"3,79","3,3287"
NATAL,GASOLINA,02/01/2019,"4,15",
NATAL,ETANOL,02/01/2019,"3,29",
NATAL,DIESEL S10,02/01/2019,"3,639",
NATAL,GNV,02/01/2019,"3,49",
NATAL,GASOLINA,02/01/2019,"4,19","3,7786"
NATAL,ETANOL,02/01/2019,"3,299",
NATAL,DIESEL,02/01/2019,"3,49","2,8697"
NATAL,DIESEL S10,02/01/2019,"3,59",
NATAL,GASOLINA,02/01/2019,"4,17","3,8169"
NATAL,ETANOL,02/01/2019,"3,15",
