Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SALVADOR,GASOLINA,02/01/2019,"4,46",
SALVADOR,ETANOL,02/01/2019,"3,46",
SALVADOR,GNV,02/01/2019,"2,96",
SALVADOR,GASOLINA,02/01/2019,"4,44","3,713"
SALVADOR,ETANOL,02/01/2019,"3,44","2,743"
SALVADOR,DIESEL S10,02/01/2019,"3,29","2,953"
SALVADOR,GASOLINA,02/01/2019,"4,488","3,7935"
SALVADOR,ETANOL,02/01/2019,"3,487","2,8313"
SALVADOR,DIESEL S10,02/01/2019,"3,28","3,0971"
SALVADOR,GASOLINA,02/01/2019,"4,469","3,69"
SALVADOR,ETANOL,02/01/2019,"3,459","2,62"
SALVADOR,DIESEL,02/01/2019,"3,489","2,92"
SALVADOR,GASOLINA,02/01/2019,"4,46","3,7323"
SALVADOR,ETANOL,02/01/2019,"3,36","2,6126"
SALVADOR,DIESEL S10,02/01/2019,"3,29","2,957"
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL,02/01/2019,"3,69",
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL S10,02/01/2019,"3,509",
SALVADOR,GNV,02/01/2019,"2,99",
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL S10,02/01/2019,"3,5",
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL S10,02/01/2019,"3,43",
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL S10,02/01/2019,"3,59",
SALVADOR,GASOLINA,02/01/2019,"4,49",
SALVADOR,ETANOL,02/01/2019,"3,49",
SALVADOR,DIESEL S10,02/01/2019,"3,799",
SALVADOR,GNV,02/01/2019,"2,999",
SALVADOR,GASOLINA,02/01/2019,"4,46","3,767"
SALVADOR,GASOLINA,02/01/2019,"4,46","3,789"
SALVADOR,ETANOL,02/01/2019,"3,46","2,669"
SALVADOR,DIESEL S10,02/01/2019,"3,29","3,018"
SALVADOR,GASOLINA,02/01/2019,"4,459","3,7924"
SALVADOR,ETANOL,02/01/2019,"3,459","2,834"
SALVADOR,DIESEL S10,02/01/2019,"3,778","3,047"
SALVADOR,GNV,02/01/2019,"3,1","1,7405"
SALVADOR,GASOLINA,02/01/2019,"4,48","3,8494"
SALVADOR,ETANOL,02/01/2019,"3,48","2,8695"
SALVADOR,DIESEL S10,02/01/2019,"3,59","3,1283"
SALVADOR,GASOLINA,02/01/2019,"4,46","3,8132"
SALVADOR,ETANOL,02/01/2019,"3,46","2,7761"
SALVADOR,GASOLINA,02/01/2019,"4,49","3,9387"
SALVADOR,ETANOL,02/01/2019,"3,45","2,9015"
SALVADOR,DIESEL S10,02/01/2019,"3,45","3,3119"
SALVADOR,GNV,02/01/2019,"2,999",
SALVADOR,GASOLINA,02/01/2019,"4,46","3,72"
SALVADOR,ETANOL,02/01/2019,"3,46","2,62"
SALVADOR,DIESEL,02/01/2019,"3,69","2,92"
SALVADOR,DIESEL S10,02/01/2019,"3,79","2,97"
SALVADOR,GASOLINA,02/01/2019,"4,599",
SALVADOR,ETANOL,02/01/2019,"3,499",
SALVADOR,DIESEL,02/01/2019,"3,259",
SALVADOR,DIESEL S10,02/01/2019,"3,369",
SALVADOR,GASOLINA,02/01/2019,"4,499",
