Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
TERESINA,GASOLINA,02/01/2019,"4,39",
TERESINA,DIESEL S10,02/01/2019,"3,59",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,379",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,499",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,599",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,599",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,289",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,289",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,289",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,449",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,449",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,DIESEL S10,02/01/2019,"3,659",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,GASOLINA,02/01/2019,"4,39",
TERESINA,ETANOL,02/01/2019,"3,29",
TERESINA,DIESEL S10,02/01/2019,"3,59",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,659",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,289",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,399","4,0067"
TERESINA,ETANOL,02/01/2019,"3,299","2,9087"
TERESINA,DIESEL S10,02/01/2019,"3,799",
TERESINA,GASOLINA,02/01/2019,"4,359","4,0318"
TERESINA,ETANOL,02/01/2019,"3,199","2,9087"
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,399","4,0067"
TERESINA,DIESEL,02/01/2019,"3,599",
TERESINA,DIESEL S10,02/01/2019,"3,699","3,1728"
TERESINA,GASOLINA,02/01/2019,"4,599","4,0318"
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,699",
TERESINA,DIESEL S10,02/01/2019,"3,799",
TERESINA,GASOLINA,02/01/2019,"4,399","4,0318"
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,699",
TERESINA,DIESEL S10,02/01/2019,"3,799","3,1878"
TERESINA,GASOLINA,02/01/2019,"4,379","4,0018"
TERESINA,ETANOL,02/01/2019,"3,199",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,199",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,289",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,39",
TERESINA,DIESEL S10,02/01/2019,"3,59",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,449",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,369",
TERESINA,ETANOL,02/01/2019,"3,189",
TERESINA,DIESEL,02/01/2019,"3,489",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,369","4,0318"
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,589",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,389","4,0067"
TERESINA,ETANOL,02/01/2019,"3,199",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,259",
TERESINA,DIESEL,02/01/2019,"3,459",
TERESINA,DIESEL S10,02/01/2019,"3,549",
TERESINA,ETANOL,02/01/2019,"3,299","2,9563"
TERESINA,DIESEL,02/01/2019,"3,599",
TERESINA,DIESEL S10,02/01/2019,"3,699",
TERESINA,GASOLINA,02/01/2019,"4,359",
TERESINA,ETANOL,02/01/2019,"3,299",
TERESINA,DIESEL,02/01/2019,"3,499",
TERESINA,DIESEL S10,02/01/2019,"3,599",
TERESINA,GASOLINA,02/01/2019,"4,39",
TERESINA,ETANOL,02/01/2019,"3,29",
TERESINA,DIESEL S10,02/01/2019,"3,69",
TERESINA,GASOLINA,02/01/2019,"4,39",
TERESINA,ETANOL,02/01/2019,"3,29",
TERESINA,DIESEL S10,02/01/2019,"3,79",
TERESINA,GASOLINA,07/01/2019,"4,359",
TERESINA,ETANOL,07/01/2019,"3,179",
TERESINA,GASOLINA,07/01/2019,"4,359",
TERESINA,DIESEL S10,07/01/2019,"3,699",
TERESINA,GASOLINA,07/01/2019,"4,359",
TERESINA,ETANOL,07/01/2019,"3,279",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,DIESEL S10,08/01/2019,"3,599",
TERESINA,GASOLINA,09/01/2019,"4,359",
TERESINA,ETANOL,09/01/2019,"3,279",
TERESINA,DIESEL,09/01/2019,"3,449",
TERESINA,DIESEL S10,09/01/2019,"3,499",
TERESINA,GASOLINA,09/01/2019,"4,359",
TERESINA,ETANOL,09/01/2019,"3,179",
TERESINA,DIESEL,09/01/2019,"3,449",
TERESINA,DIESEL S10,09/01/2019,"3,499",
TERESINA,GASOLINA,07/01/2019,"4,359",
TERESINA,ETANOL,07/01/2019,"3,299",
TERESINA,DIESEL,07/01/2019,"3,599",
TERESINA,DIESEL S10,07/01/2019,"3,699",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,279",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,179",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,09/01/2019,"4,349",
TERESINA,ETANOL,09/01/2019,"3,199",
TERESINA,DIESEL,09/01/2019,"3,449",
TERESINA,DIESEL S10,09/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,349",
TERESINA,ETANOL,08/01/2019,"3,199",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,179",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,279",
TERESINA,ETANOL,08/01/2019,"3,179",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,299",
TERESINA,DIESEL S10,08/01/2019,"3,459",
TERESINA,GASOLINA,09/01/2019,"4,359",
TERESINA,ETANOL,09/01/2019,"3,299",
TERESINA,DIESEL S10,09/01/2019,"3,499",
TERESINA,GASOLINA,08/01/2019,"4,279",
TERESINA,ETANOL,08/01/2019,"3,179",
TERESINA,DIESEL,08/01/2019,"3,449",
TERESINA,DIESEL S10,08/01/2019,"3,499",
TERESINA,GASOLINA,09/01/2019,"4,359",
TERESINA,DIESEL S10,09/01/2019,"3,499",
TERESINA,GASOLINA,07/01/2019,"4,359",
TERESINA,DIESEL S10,07/01/2019,"3,699",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,299",
TERESINA,GASOLINA,08/01/2019,"4,39",
TERESINA,ETANOL,08/01/2019,"3,29",
TERESINA,DIESEL S10,08/01/2019,"3,49",
TERESINA,GASOLINA,09/01/2019,"4,39",
TERESINA,ETANOL,09/01/2019,"3,29",
TERESINA,DIESEL S10,09/01/2019,"3,59",
TERESINA,GASOLINA,08/01/2019,"4,359",
TERESINA,ETANOL,08/01/2019,"3,299",
TERESINA,DIESEL S10,08/01/2019,"3,599",
TERESINA,GASOLINA,09/01/2019,"4,299","3,8033"
TERESINA,ETANOL,09/01/2019,"3,199","3,0964"
TERESINA,DIESEL S10,09/01/2019,"3,699","3,2231"
TERESINA,GASOLINA,09/01/2019,"4,299","3,7959"
TERESINA,ETANOL,09/01/2019,"3,199","3,0139"
TERESINA,DIESEL S10,09/01/2019,"3,599","3,2321"
TERESINA,GASOLINA,09/01/2019,"4,399",
