Data da Coleta,Produto,Valor de Venda
2018-12-30,GASOLINA,4.1845
2019-01-06,GASOLINA,4.06325
2019-01-13,GASOLINA,4.0281666666666665
2019-01-20,GASOLINA,3.952458333333334
2019-01-27,GASOLINA,3.903375
2019-02-03,GASOLINA,3.9141666666666666
2019-02-10,GASOLINA,3.8672083333333336
2019-02-17,GASOLINA,3.8524583333333333
2019-02-24,GASOLINA,3.8755
2019-03-03,GASOLINA,3.837125
2019-03-10,GASOLINA,3.831208333333333
2019-03-17,GASOLINA,3.873666666666667
2019-03-24,GASOLINA,3.964541666666667
2019-03-31,GASOLINA,4.0225
2019-04-07,GASOLINA,4.100541666666667
2019-04-14,GASOLINA,4.1755
2019-04-21,GASOLINA,4.345416666666666
2019-04-28,GASOLINA,4.375333333333333
2019-05-05,GASOLINA,4.376916666666666
2019-05-12,GASOLINA,4.3799166666666665
2019-05-19,GASOLINA,4.389166666666667
2019-05-26,GASOLINA,4.546
2019-06-02,GASOLINA,4.576291666666667
2019-06-09,GASOLINA,4.541458333333334
2019-06-16,GASOLINA,4.508916666666667
2019-06-23,GASOLINA,4.486625
2019-06-30,GASOLINA,4.46875
2019-07-07,GASOLINA,4.4405
2019-07-14,GASOLINA,4.4205
2019-07-21,GASOLINA,4.384333333333333
2019-07-28,GASOLINA,4.3343750000000005
2019-08-04,GASOLINA,4.353208333333334
2019-08-11,GASOLINA,4.343916666666667
2019-08-18,GASOLINA,4.318375
2019-08-25,GASOLINA,4.288625
2019-09-01,GASOLINA,4.271958333333333
2019-09-08,GASOLINA,4.254458333333333
2019-09-15,GASOLINA,4.2508333333333335
2019-09-22,GASOLINA,4.268375
2019-09-29,GASOLINA,4.245608695652174
2019-10-06,GASOLINA,4.251956521739131
2019-10-13,GASOLINA,4.248391304347826
2019-10-20,GASOLINA,4.233458333333333
2019-10-27,GASOLINA,4.359652173913044
2019-11-03,GASOLINA,4.375541666666667
2019-11-10,GASOLINA,4.3585
2019-11-17,GASOLINA,4.345458333333333
2019-11-24,GASOLINA,4.355125
2019-12-01,GASOLINA,4.315708333333333
2019-12-08,GASOLINA,4.289681818181818
2019-12-15,GASOLINA,4.24275
2019-12-22,GASOLINA,4.259708333333333
2019-12-29,GASOLINA,4.246291666666667
2020-01-05,GASOLINA,4.248166666666667
2020-01-12,GASOLINA,4.272608695652174
2020-01-19,GASOLINA,4.241916666666667
2020-01-26,GASOLINA,4.207541666666667
2020-02-02,GASOLINA,4.193208333333334
2020-02-09,GASOLINA,4.150291666666667
2020-02-16,GASOLINA,4.1647083333333335
2020-02-23,GASOLINA,4.120291666666667
2020-03-01,GASOLINA,4.116375000000001
2020-03-08,GASOLINA,4.033791666666667
2020-03-15,GASOLINA,3.9591250000000002
2020-03-22,GASOLINA,3.90725
2020-03-29,GASOLINA,3.8820833333333336
2020-04-05,GASOLINA,3.8538333333333337
2020-04-12,GASOLINA,3.7797916666666667
2020-04-19,GASOLINA,3.658791666666666
2020-04-26,GASOLINA,3.595041666666667
2020-05-03,GASOLINA,3.4737916666666666
2020-05-10,GASOLINA,3.421208333333333
2020-05-17,GASOLINA,3.493625
2020-05-24,GASOLINA,3.510375
2020-05-31,GASOLINA,3.551833333333333
2020-06-07,GASOLINA,3.623041666666667
2020-06-14,GASOLINA,3.6501249999999996
2020-06-21,GASOLINA,3.738583333333333
2020-06-28,GASOLINA,3.801625
2020-07-05,GASOLINA,3.817
2020-07-12,GASOLINA,3.845708333333333
2020-07-19,GASOLINA,3.9080833333333334
2020-07-26,GASOLINA,3.9080833333333334
2020-08-02,GASOLINA,3.9272916666666666
2020-08-09,GASOLINA,4.09625
2020-08-16,GASOLINA,4.112958333333333
2020-08-23,,
2020-08-30,,
2020-09-06,,
2020-09-13,,
2020-09-20,,
2020-09-27,,
2020-10-04,,
2020-10-11,,
2020-10-18,GASOLINA,4.258500000000001
2020-10-25,GASOLINA,4.214875
2020-11-01,GASOLINA,4.205041666666667
2020-11-08,GASOLINA,4.186875
2020-11-15,GASOLINA,4.181416666666666
2020-11-22,GASOLINA,4.25575
2020-11-29,GASOLINA,4.4535
2020-12-06,GASOLINA,4.480083333333334
2020-12-13,GASOLINA,4.4839166666666666
2020-12-20,GASOLINA,4.485083333333333
2020-12-27,GASOLINA,4.481
2021-01-03,GASOLINA,4.637208333333334
2021-01-10,GASOLINA,4.6710416666666665
2021-01-17,GASOLINA,4.6742083333333335
2021-01-24,GASOLINA,4.742708333333334
2021-01-31,GASOLINA,4.717875
2021-02-07,GASOLINA,4.755590909090909
2021-02-14,GASOLINA,4.932166666666666
2021-02-21,GASOLINA,5.019125
2021-02-28,GASOLINA,4.97125
2021-03-07,GASOLINA,5.080125
2021-03-14,GASOLINA,5.204958333333333
2021-03-21,GASOLINA,5.260041666666667
2021-03-28,GASOLINA,5.275458333333334
2021-04-04,GASOLINA,5.277958333333333
2021-04-11,GASOLINA,5.222875
2021-04-18,GASOLINA,5.215
2021-04-25,GASOLINA,5.196130434782608
2021-05-02,GASOLINA,5.1978333333333335
2021-05-09,GASOLINA,5.215190476190476
2021-05-16,GASOLINA,5.336041666666667
2021-05-23,GASOLINA,5.363916666666667
