Data da Coleta,Produto,Valor de Venda
2018-12-30,GASOLINA,4.1930344827586215
2019-01-06,GASOLINA,4.161896551724138
2019-01-13,GASOLINA,4.091111111111111
2019-01-20,GASOLINA,4.08437037037037
2019-01-27,GASOLINA,4.110551724137931
2019-02-03,GASOLINA,4.035678571428571
2019-02-10,GASOLINA,4.010666666666666
2019-02-17,GASOLINA,4.0063571428571425
2019-02-24,GASOLINA,4.0545
2019-03-03,GASOLINA,4.059703703703704
2019-03-10,GASOLINA,4.321241379310345
2019-03-17,GASOLINA,4.470413793103448
2019-03-24,GASOLINA,4.4333846153846155
2019-03-31,GASOLINA,4.465714285714286
2019-04-07,GASOLINA,4.482793103448276
2019-04-14,GASOLINA,4.568
2019-04-21,GASOLINA,4.652592592592593
2019-04-28,GASOLINA,4.642357142857143
2019-05-05,GASOLINA,4.898740740740741
2019-05-12,GASOLINA,4.875034482758621
2019-05-19,GASOLINA,4.760035714285714
2019-05-26,GASOLINA,4.672846153846153
2019-06-02,GASOLINA,4.6067857142857145
2019-06-09,GASOLINA,4.460931034482758
2019-06-16,GASOLINA,4.416884615384616
2019-06-23,GASOLINA,4.479142857142857
2019-06-30,GASOLINA,4.638296296296296
2019-07-07,GASOLINA,4.491379310344827
2019-07-14,GASOLINA,4.388357142857143
2019-07-21,GASOLINA,4.341555555555555
2019-07-28,GASOLINA,4.251586206896552
2019-08-04,GASOLINA,4.328620689655173
2019-08-11,GASOLINA,4.253038461538462
2019-08-18,GASOLINA,4.197370370370371
2019-08-25,GASOLINA,4.278214285714286
2019-09-01,GASOLINA,4.474185185185185
2019-09-08,GASOLINA,4.470607142857143
2019-09-15,GASOLINA,4.471655172413793
2019-09-22,GASOLINA,4.6404000000000005
2019-09-29,GASOLINA,4.656035714285714
2019-10-06,GASOLINA,4.675230769230769
2019-10-13,GASOLINA,4.6827499999999995
2019-10-20,GASOLINA,4.67162962962963
2019-10-27,GASOLINA,4.661384615384615
2019-11-03,GASOLINA,4.672538461538462
2019-11-10,GASOLINA,4.65537037037037
2019-11-17,GASOLINA,4.674153846153846
2019-11-24,GASOLINA,4.654333333333333
2019-12-01,GASOLINA,4.754724137931034
2019-12-08,GASOLINA,4.93564
2019-12-15,GASOLINA,4.880964285714286
2019-12-22,GASOLINA,4.860541666666667
2019-12-29,GASOLINA,4.873034482758621
2020-01-05,GASOLINA,4.855076923076923
2020-01-12,GASOLINA,4.8660689655172416
2020-01-19,GASOLINA,4.851178571428571
2020-01-26,GASOLINA,4.855607142857143
2020-02-02,GASOLINA,4.7402
2020-02-09,GASOLINA,4.723275862068966
2020-02-16,GASOLINA,4.65976923076923
2020-02-23,GASOLINA,4.574035714285714
2020-03-01,GASOLINA,4.535259259259259
2020-03-08,GASOLINA,4.614379310344828
2020-03-15,GASOLINA,4.5645999999999995
2020-03-22,GASOLINA,4.481965517241379
2020-03-29,GASOLINA,4.293148148148148
2020-04-05,GASOLINA,4.274571428571429
2020-04-12,GASOLINA,4.194375
2020-04-19,GASOLINA,4.016448275862069
2020-04-26,GASOLINA,3.892037037037037
2020-05-03,GASOLINA,3.791551724137931
2020-05-10,GASOLINA,3.7228461538461537
2020-05-17,GASOLINA,3.6463571428571426
2020-05-24,GASOLINA,3.87024
2020-05-31,GASOLINA,3.95296551724138
2020-06-07,GASOLINA,3.9266153846153844
2020-06-14,GASOLINA,4.269964285714286
2020-06-21,GASOLINA,4.252869565217392
2020-06-28,GASOLINA,4.261689655172414
2020-07-05,GASOLINA,4.60024
2020-07-12,GASOLINA,4.632
2020-07-19,GASOLINA,4.646769230769231
2020-07-26,GASOLINA,4.671035714285715
2020-08-02,GASOLINA,4.627800000000001
2020-08-09,GASOLINA,4.552379310344827
2020-08-16,GASOLINA,4.4721153846153845
2020-08-23,,
2020-08-30,,
2020-09-06,,
2020-09-13,,
2020-09-20,,
2020-09-27,,
2020-10-04,,
2020-10-11,,
2020-10-18,GASOLINA,4.7122222222222225
2020-10-25,GASOLINA,4.6734583333333335
2020-11-01,GASOLINA,4.641
2020-11-08,GASOLINA,4.57512
2020-11-15,GASOLINA,4.867592592592593
2020-11-22,GASOLINA,4.767045454545454
2020-11-29,GASOLINA,4.650961538461538
2020-12-06,GASOLINA,4.748074074074075
2020-12-13,GASOLINA,4.881346153846153
2020-12-20,GASOLINA,4.880214285714286
2020-12-27,GASOLINA,4.884461538461538
2021-01-03,GASOLINA,4.87948
2021-01-10,GASOLINA,4.869111111111112
2021-01-17,GASOLINA,4.794153846153846
2021-01-24,GASOLINA,5.171777777777778
2021-01-31,GASOLINA,5.13908
2021-02-07,GASOLINA,5.05972
2021-02-14,GASOLINA,5.080920000000001
2021-02-21,GASOLINA,5.56228
2021-02-28,GASOLINA,5.42232
2021-03-07,GASOLINA,5.777259259259259
2021-03-14,GASOLINA,5.87137037037037
2021-03-21,GASOLINA,5.83028
2021-03-28,GASOLINA,5.637080000000001
2021-04-04,GASOLINA,5.54762962962963
2021-04-11,GASOLINA,5.461799999999999
2021-04-18,GASOLINA,5.4282
2021-04-25,GASOLINA,5.4282
2021-05-02,GASOLINA,5.44212
2021-05-09,GASOLINA,5.65544
2021-05-16,GASOLINA,5.852239999999999
2021-05-23,GASOLINA,5.949666666666666
2021-05-30,GASOLINA,5.982208333333333
2021-06-06,GASOLINA,5.98304
2021-06-13,GASOLINA,5.98108
2021-06-20,GASOLINA,5.982791666666667
2021-06-27,GASOLINA,6.281541666666667
2021-07-04,GASOLINA,6.28144
2021-07-11,GASOLINA,6.38416
2021-07-18,GASOLINA,6.36528
2021-07-25,GASOLINA,6.27388
2021-08-01,GASOLINA,6.12336
2021-08-08,GASOLINA,6.138370370370371
2021-08-15,GASOLINA,6.07904
2021-08-22,GASOLINA,6.0301599999999995
2021-08-29,GASOLINA,6.01568
2021-09-05,GASOLINA,6.6779629629629635
2021-09-12,GASOLINA,6.668279999999999
2021-09-19,GASOLINA,6.68136
2021-09-26,GASOLINA,6.68104
2021-10-03,GASOLINA,6.681000000000001
2021-10-10,GASOLINA,6.88424
2021-10-17,GASOLINA,6.98264
2021-10-24,GASOLINA,7.15384
2021-10-31,GASOLINA,7.272153846153846
2021-11-07,GASOLINA,7.26548
2021-11-14,GASOLINA,7.172111111111111
2021-11-21,GASOLINA,7.08184
2021-11-28,GASOLINA,6.9714
2021-12-05,GASOLINA,6.8261199999999995
2021-12-12,GASOLINA,6.786320000000001
2021-12-19,GASOLINA,6.69516
2021-12-26,GASOLINA,6.958279999999999
2022-01-02,GASOLINA,6.9752
2022-01-09,GASOLINA,6.9672
