Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"4,08",
SAO LUIS,ETANOL,03/01/2019,"3,49",
SAO LUIS,DIESEL S10,03/01/2019,"3,49",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,519",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL,03/01/2019,"3,349",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6558"
SAO LUIS,DIESEL,03/01/2019,"3,399",
SAO LUIS,DIESEL S10,03/01/2019,"3,469",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,02/01/2019,"3,999",
SAO LUIS,DIESEL S10,02/01/2019,"3,349",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6691"
SAO LUIS,DIESEL,03/01/2019,"3,399","3,0988"
SAO LUIS,DIESEL S10,03/01/2019,"3,469",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099","3,6166"
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL S10,03/01/2019,"3,599","3,1483"
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6699"
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6678"
SAO LUIS,DIESEL,03/01/2019,"3,349",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6692"
SAO LUIS,ETANOL,03/01/2019,"3,549","3,2606"
SAO LUIS,DIESEL S10,03/01/2019,"3,469","3,1375"
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6599"
SAO LUIS,DIESEL,03/01/2019,"3,349",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,989",
SAO LUIS,DIESEL S10,03/01/2019,"3,349",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL,03/01/2019,"3,349",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,ETANOL,03/01/2019,"3,49",
SAO LUIS,DIESEL,03/01/2019,"3,39",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL S10,03/01/2019,"3,599",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL,03/01/2019,"3,449",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6696"
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,7949"
SAO LUIS,DIESEL S10,03/01/2019,"3,599",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL S10,03/01/2019,"3,349",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6694"
SAO LUIS,ETANOL,03/01/2019,"3,569",
SAO LUIS,DIESEL S10,03/01/2019,"3,459",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6415"
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,ETANOL,03/01/2019,"3,499",
SAO LUIS,DIESEL S10,03/01/2019,"3,399",
SAO LUIS,GASOLINA,03/01/2019,"4,099",
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,999",
SAO LUIS,DIESEL S10,03/01/2019,"3,499",
SAO LUIS,GASOLINA,03/01/2019,"3,999","3,6664"
SAO LUIS,DIESEL S10,03/01/2019,"3,449",
SAO LUIS,GASOLINA,03/01/2019,"3,969",
SAO LUIS,DIESEL S10,03/01/2019,"3,399",
